@relation pairsTask


@attribute Proximity numeric
@attribute Critical {true,false}

@data
0.0,true
0.0,false
0.0,false
0.0,false
10.134906,false
0.0,false
0.0,false
0.0,false
0.3274354,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
8.185885,false
0.0,false
0.0,false
5.8938375,true
14.3447895,true
6.517524,true
8.139109,true
27.504574,false
9.23056,false
7.8584495,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
17.026642,false
31.21551,false
0.0,false
0.0,false
0.8575689,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
7.016473,false
0.18710594,true
0.0,false
0.0,false
0.0,false
0.031184323,false
0.0,false
0.0,false
0.0,false
0.015592162,false
0.031184323,false
0.031184323,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.062368646,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.062368646,false
0.015592162,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.031184323,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.3274354,false
0.0,false
0.0,false
0.015592162,false
0.0,false
0.0,false
0.0,false
0.046776485,false
0.0,false
0.0,false
0.062368646,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,false
0.0,true
341.3748,true
0.0,true
9.355297,true
1.8710594,true
15.950782,true
0.15592162,true
0.38980407,true
5.488441,true
46.02806,true
35.082363,true
0.37421188,false
1.3097416,false
1.1694121,false
0.14032947,false
0.2494746,false
1.0914513,false
0.31184325,false
0.015592162,false
5.8314686,false
0.9355297,false
0.6236865,false
0.031184323,false
0.09355297,false
0.015592162,false
0.015592162,false
0.046776485,false
0.6548708,false
0.9355297,false
0.031184323,false
0.8731611,false
0.015592162,false
0.015592162,false
0.015592162,false
0.6860551,false
0.031184323,false
0.21829027,false
0.18710594,false
0.062368646,false
0.09355297,false
0.5145413,false
0.046776485,false
0.015592162,false
0.015592162,false
0.031184323,false
0.015592162,false
0.015592162,false
0.062368646,false
0.07796081,false
0.21829027,false
0.015592162,false
0.21829027,false
1.6839535,false
0.046776485,false
0.23388243,false
0.09355297,false
0.015592162,false
0.6236865,false
0.46776485,false
0.031184323,false
